1	300.905	300.827	300.555	300.336
2	300.904	300.826	300.554	300.336
3	300.902	300.825	300.553	300.335
4	300.9	300.822	300.551	300.334
5	300.896	300.819	300.549	300.333
6	300.892	300.815	300.546	300.331
7	300.887	300.81	300.543	300.329
8	300.881	300.805	300.54	300.327
9	300.874	300.799	300.535	300.325
10	300.867	300.792	300.531	300.322
11	300.858	300.784	300.526	300.319
12	300.849	300.776	300.52	300.316
13	300.839	300.767	300.514	300.312
14	300.829	300.757	300.508	300.308
15	300.817	300.747	300.501	300.304
16	300.805	300.736	300.493	300.299
17	300.792	300.724	300.485	300.294
18	300.778	300.711	300.477	300.289
19	300.763	300.698	300.468	300.284
20	300.748	300.683	300.458	300.278
21	300.732	300.669	300.448	300.272
22	300.715	300.653	300.438	300.266
23	300.697	300.637	300.427	300.259
24	300.678	300.62	300.415	300.252
25	300.659	300.602	300.404	300.245
26	300.64	300.585	300.392	300.238
27	300.622	300.569	300.381	300.231
28	300.605	300.553	300.371	300.225
29	300.588	300.538	300.36	300.219
30	300.572	300.523	300.351	300.213
31	300.557	300.509	300.341	300.207
32	300.541	300.495	300.332	300.201
33	300.527	300.482	300.323	300.196
34	300.513	300.469	300.314	300.19
35	300.499	300.456	300.306	300.185
36	300.486	300.444	300.297	300.18
37	300.472	300.432	300.289	300.176
38	300.46	300.42	300.282	300.171
39	300.447	300.409	300.274	300.166
40	300.435	300.398	300.267	300.162
41	300.424	300.387	300.26	300.157
42	300.412	300.377	300.253	300.153
43	300.401	300.367	300.246	300.149
44	300.39	300.357	300.239	300.145
45	300.379	300.347	300.232	300.141
46	300.369	300.337	300.226	300.137
47	300.359	300.328	300.22	300.133
48	300.349	300.319	300.214	300.13
49	300.339	300.31	300.208	300.126
50	300.329	300.301	300.202	300.122
51	300.32	300.292	300.196	300.119
52	300.311	300.284	300.19	300.115
53	300.302	300.276	300.185	300.112
54	300.293	300.268	300.179	300.109
55	300.284	300.26	300.174	300.106
56	300.276	300.252	300.169	300.102
57	300.267	300.244	300.164	300.099
58	300.259	300.237	300.159	300.096
59	300.251	300.229	300.154	300.093
60	300.243	300.222	300.149	300.09
61	300.235	300.215	300.144	300.087
62	300.227	300.208	300.139	300.084
63	300.22	300.201	300.135	300.082
64	300.212	300.194	300.13	300.079
65	300.205	300.187	300.125	300.076
66	300.197	300.18	300.121	300.073
67	300.19	300.174	300.117	300.071
68	300.183	300.167	300.112	300.068
69	300.176	300.161	300.108	300.066
70	300.169	300.155	300.104	300.063
71	300.163	300.149	300.1	300.06
72	300.156	300.143	300.096	300.058
73	300.15	300.137	300.092	300.056
74	300.143	300.131	300.088	300.053
75	300.137	300.125	300.084	300.051
76	300.13	300.119	300.08	300.048
77	300.124	300.114	300.076	300.046
78	300.118	300.108	300.072	300.044
79	300.112	300.102	300.069	300.042
80	300.106	300.097	300.065	300.039
81	300.1	300.092	300.061	300.037
82	300.094	300.086	300.058	300.035
83	300.089	300.081	300.054	300.033
84	300.083	300.076	300.051	300.031
85	300.077	300.071	300.047	300.029
86	300.072	300.066	300.044	300.027
87	300.066	300.06	300.041	300.025
88	300.061	300.056	300.037	300.023
89	300.055	300.051	300.034	300.021
90	300.05	300.046	300.031	300.019
91	300.045	300.041	300.027	300.017
92	300.04	300.036	300.024	300.015
93	300.034	300.032	300.021	300.013
94	300.029	300.027	300.018	300.011
95	300.024	300.022	300.015	300.009
96	300.019	300.018	300.012	300.007
97	300.014	300.013	300.009	300.005
98	300.01	300.009	300.006	300.004
99	300.005	300.004	300.003	300.002
